Here is a glimpse of the access.log file for apache2 showing the health checks and accesses into our web server: 

Luke's Instance: 

128.14.209.234 - - [22/Jul/2019:01:15:56 +0000] "GET / HTTP/1.1" 200 238 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
186.208.21.54 - - [22/Jul/2019:01:52:35 +0000] "GET / HTTP/1.1" 200 238 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
109.175.6.136 - - [22/Jul/2019:03:02:46 +0000] "GET / HTTP/1.1" 200 238 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
190.12.22.211 - - [22/Jul/2019:03:23:17 +0000] "GET / HTTP/1.1" 200 238 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
10.0.2.242 - - [22/Jul/2019:04:00:01 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:00:30 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:00:52 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:01:00 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:01:05 +0000] "GET / HTTP/1.1" 200 294 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36"
10.0.2.242 - - [22/Jul/2019:04:01:30 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:01:57 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:01:57 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:02:00 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:02:01 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:02:01 +0000] "-" 408 0 "-" "-"
10.0.2.248 - - [22/Jul/2019:04:02:02 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:02:30 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.248 - - [22/Jul/2019:04:02:31 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:02:53 +0000] "-" 408 0 "-" "-"
10.0.2.248 - - [22/Jul/2019:04:02:53 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:03:00 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.248 - - [22/Jul/2019:04:03:01 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:03:30 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.248 - - [22/Jul/2019:04:03:31 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:03:44 +0000] "-" 408 0 "-" "-"
10.0.2.248 - - [22/Jul/2019:04:03:45 +0000] "-" 408 0 "-" "-"
10.0.2.242 - - [22/Jul/2019:04:04:00 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.248 - - [22/Jul/2019:04:04:01 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.242 - - [22/Jul/2019:04:04:30 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"
10.0.2.248 - - [22/Jul/2019:04:04:31 +0000] "GET / HTTP/1.1" 200 294 "-" "ELB-HealthChecker/1.0"




DP's Instance: 

76.115.195.234 - - [22/Jul/2019:01:14:24 +0000] "GET / HTTP/1.1" 200 294 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36"
76.115.195.234 - - [22/Jul/2019:01:14:24 +0000] "GET /favicon.ico HTTP/1.1" 404 540 "http://ec2-18-237-247-62.us-west-2.compute.amazonaws.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36"
76.115.195.234 - - [22/Jul/2019:01:15:15 +0000] "-" 408 0 "-" "-"
76.115.195.234 - - [22/Jul/2019:01:16:46 +0000] "-" 408 0 "-" "-"
76.115.195.234 - - [22/Jul/2019:01:16:46 +0000] "-" 408 0 "-" "-"
